length_mm,straight_x_um,tilted_x_um,geometric_drift_um,part,tilt_deg,divider_um,recovery_percent,purity_percent,large_x_um,small_x_um,gap_um
1.0,0.015078407370255953,130.63105785096192,176.326980708465,drift_vs_length,,,,,,,
2.0,0.01507840740814201,298.92826914758245,352.65396141693,drift_vs_length,,,,,,,
4.0,0.015078407719597014,578.2662858507739,705.30792283386,drift_vs_length,,,,,,,
8.0,0.015078407720101902,595.537422810958,1410.61584566772,drift_vs_length,,,,,,,
,,,,best_split_vs_tilt,0.0,,,,,,
,,,,best_split_vs_tilt,-3.0,180.00000000000003,100.0,97.5609756097561,197.476256582344,128.08130576557346,69.39495081677055
,,,,best_split_vs_tilt,-5.0,300.00000000000006,100.0,99.00990099009901,328.6941784973857,103.55629838794043,225.13788010944523
,,,,best_split_vs_tilt,-10.0,240.00000000000009,100.0,100.0,578.2662858507739,70.20593160541756,508.06035424535634
,,,,best_split_vs_tilt,-15.0,150.00000000000003,99.0,100.0,489.8808840502402,65.12036895966637,424.7605150905738
