sample,cells_per_ml,volume_fraction_percent,separation_radii,is_dilute,part,voltage_pp,pressure_MPa,recovery_percent,wbc_removed_percent,depletion_log10,demonstrable_log10
whole blood,5307000005.0,45.434831664793165,2.0968461280352795,False,sample_preparation,,,,,,
after RBC lysis,312000005.0,0.4818513990842252,9.543884209787882,False,sample_preparation,,,,,,
,,,,,drive_sweep,8.0,0.24,82.66666666666669,96.66666666666667,2.3229158377571735,1.6868174073708526
,,,,,drive_sweep,10.0,0.3,78.33333333333333,91.0,2.1330566268304794,1.6268164123346163
,,,,,drive_sweep,12.0,0.36,75.66666666666667,84.33333333333333,1.5321011088946368,1.2651857796906967
,,,,,drive_sweep,15.0,0.45,73.0,67.0,1.1652316129900169,0.9937276361685071
,,,,,drive_sweep,18.0,0.54,73.0,42.00000000000001,0.9929583519913541,0.8585812851609176
,,,,,drive_sweep,22.0,0.66,73.0,27.333333333333332,0.7925578296323367,0.6888913320214282
