cells_in_view,frames,counted_percent,missed_occluded,missed_other,extra_tracks,missed_contaminants_percent,missed_waste_background_percent,identity_swaps,classified_correctly_percent,capture_video,capture_simulation,contamination_video,contamination_simulation
3,21231,99.16666666666667,1,0,1,0.0,1.3333333333333335,1,99.15966386554622,100.0,100.0,11.904761904761903,12.790697674418606
8,8730,97.5,3,0,0,9.090909090909092,2.666666666666667,3,99.14529914529915,100.0,100.0,10.975609756097562,12.790697674418606
20,4319,97.5,3,0,0,9.090909090909092,1.3333333333333335,5,99.14529914529915,100.0,100.0,10.843373493975903,12.790697674418606
