classified_by,video_capture_efficiency_percent,video_contamination_rate_percent,simulation_capture_efficiency_percent,simulation_contamination_rate_percent,cells_through_window,counted_fraction_percent,counted_target_percent,counted_background_percent,missed_cells,missed_occluded,missed_other,missed_targets,missed_background_collected_percent,missed_background_waste_percent,extra_tracks,identity_swaps,classification_accuracy_percent,targets_called_background,background_called_targets,outlet_agreement_percent,outlet_disagreements
size,99.4949494949495,15.775401069518717,99.5,18.5,600,94.33333333333333,95.5,93.75,34,34,0,9,17.56756756756757,3.6809815950920246,6,38,98.76325088339223,2,5,100.0,0
fluorescence,99.48453608247422,16.666666666666664,99.5,18.5,600,94.33333333333333,95.5,93.75,34,34,0,9,17.56756756756757,3.6809815950920246,6,38,99.46996466431095,2,1,100.0,0
