stage,n_in,n_out,yield_fraction,relative_uncertainty,efficiency_percent,purity_percent,recovery_ci_low_percent,recovery_ci_high_percent,concentration_per_ml,viability_percent,mean_diameter_um,detection_recall,imaged_radius_mean_px,imaged_radius_cv,mean_speed_um_per_min,msd_alpha,n_tracks
sort,600,239,0.3983333333333333,0.09803944565439669,79.33333333333333,99.581589958159,35.992772708403194,43.803248545536796,,,,,,,,,
count,239,115,0.4811715481171548,0.09325048082403138,,,,,13290495.562130176,60.869565217391305,17.709130656152677,0.9583333333333334,14.085050011601668,0.11864506457186166,,,
track,239,67,0.2803347280334728,0.02548884633279682,,,,,,,,,,,0.14066328937191555,1.8959117417671643,67.0
