frequency,voltage_pp,flow_rate,efficiency_percent,purity_percent,enrichment_fold,n_collected,all_cells_exited,collected_fraction_mcf7,mean_outlet_x_um_mcf7,collected_fraction_rbc,mean_outlet_x_um_rbc
6631666.666666667,5.0,8.333333333333333e-11,0.0,,,0,True,0.0,123.68225605936537,0.0,146.22832661207602
6631666.666666667,5.0,2.5e-10,0.0,,,0,True,0.0,120.9673233978069,0.0,146.19277710654268
6631666.666666667,5.0,6.666666666666666e-10,0.0,,,0,True,0.0,120.19332433358385,0.0,146.18187058968098
6631666.666666667,10.0,8.333333333333333e-11,54.166666666666664,100.0,2.0,65,True,0.5416666666666666,137.58445282229457,0.0,146.39551213185484
6631666.666666667,10.0,2.5e-10,0.0,,,0,True,0.0,125.16639155000584,0.0,146.2464592738651
6631666.666666667,10.0,6.666666666666666e-10,0.0,,,0,True,0.0,121.61220545089517,0.0,146.2015726488339
6631666.666666667,15.0,8.333333333333333e-11,100.0,93.02325581395348,1.8604651162790697,129,True,1.0,148.292974806473,0.075,146.49365075851435
6631666.666666667,15.0,2.5e-10,25.0,100.0,2.0,30,True,0.25,133.13070453198398,0.0,146.33967560964683
6631666.666666667,15.0,6.666666666666666e-10,0.0,,,0,True,0.0,124.22990198944348,0.0,146.2351009671711
6631666.666666667,25.0,8.333333333333333e-11,100.0,67.0391061452514,1.3407821229050279,179,True,1.0,149.9999106519645,0.49166666666666664,146.0770738035393
6631666.666666667,25.0,2.5e-10,100.0,93.75,1.875,128,True,1.0,147.74041380789538,0.06666666666666667,146.51180463581554
6631666.666666667,25.0,6.666666666666666e-10,27.500000000000004,100.0,2.0,33,True,0.275,133.7167827907974,0.0,146.34674930972236
13263333.333333334,5.0,8.333333333333333e-11,0.0,,,0,False,0.0,112.61754113496731,0.0,146.05481877025238
13263333.333333334,5.0,2.5e-10,0.0,,,0,False,0.0,116.16274292857943,0.0,146.1392966726179
13263333.333333334,5.0,6.666666666666666e-10,0.0,,,0,True,0.0,118.3728246983944,0.0,146.16242326272175
13263333.333333334,10.0,8.333333333333333e-11,0.0,,,0,False,0.0,112.5,0.0,145.2260525615744
13263333.333333334,10.0,2.5e-10,0.0,,,0,False,0.0,112.50561522717709,0.0,145.99143269443283
13263333.333333334,10.0,6.666666666666666e-10,0.0,,,0,False,0.0,114.46487747072943,0.0,146.117417369074
13263333.333333334,15.0,8.333333333333333e-11,0.0,,,0,False,0.0,112.5,0.0,144.99999996318962
13263333.333333334,15.0,2.5e-10,0.0,,,0,False,0.0,112.5,0.0,145.4443655675212
13263333.333333334,15.0,6.666666666666666e-10,0.0,,,0,False,0.0,112.53481448728667,0.0,146.0392127601493
13263333.333333334,25.0,8.333333333333333e-11,0.0,,,0,False,0.0,112.5,0.0,145.0
13263333.333333334,25.0,2.5e-10,0.0,,,0,False,0.0,112.5,0.0,145.00161006002867
13263333.333333334,25.0,6.666666666666666e-10,0.0,,,0,False,0.0,112.5,0.0,145.41169893330408
19895000.0,5.0,8.333333333333333e-11,0.0,,,0,True,0.0,124.8811842787261,0.0,146.0083994649898
19895000.0,5.0,2.5e-10,0.0,,,0,True,0.0,123.30274177780583,0.0,146.1417886941815
19895000.0,5.0,6.666666666666666e-10,0.0,,,0,True,0.0,121.43661932293122,0.0,146.16774279242236
19895000.0,10.0,8.333333333333333e-11,0.0,,,0,True,0.0,125.00000813066603,0.0,146.36319660744311
19895000.0,10.0,2.5e-10,0.0,,,0,True,0.0,124.96921431836653,0.0,145.98706803580288
19895000.0,10.0,6.666666666666666e-10,0.0,,,0,True,0.0,124.11513732623432,0.0,146.10854757295758
19895000.0,15.0,8.333333333333333e-11,0.0,,,0,True,0.0,124.99999970180076,0.0,146.6391838838938
19895000.0,15.0,2.5e-10,0.0,,,0,True,0.0,125.00003503941625,0.0,146.21114025547803
19895000.0,15.0,6.666666666666666e-10,0.0,,,0,True,0.0,124.92818401857201,0.0,145.9955134832744
19895000.0,25.0,8.333333333333333e-11,0.0,,,0,True,0.0,124.99999999957774,0.0,146.66666029278298
19895000.0,25.0,2.5e-10,0.0,,,0,True,0.0,125.00000037856191,0.0,146.62873694520206
19895000.0,25.0,6.666666666666666e-10,0.0,,,0,True,0.0,125.00003427407577,0.0,146.23201272217406
